company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
Hoover and Sons Group,Media & Entertainment,816,9,A Media & Entertainment company focused on harness B2B communities,0
Nelson Inc Solutions,Aerospace & Defense,459,182,A Aerospace & Defense company focused on harness open-source synergies,1
Anderson-Webb Solutions,Cloud Computing,6,1,A Cloud Computing company focused on deploy 24/7 info-mediaries,0
Crawford Inc Solutions,Banking,7,1,A Banking company focused on mesh user-centric models,0
"Brown, Burns and Nguyen Solutions",EdTech,986,90,A EdTech company focused on re-intermediate cross-platform vortals,1
Harris-Gray LLC,Wellness and Fitness,153,194,A Wellness and Fitness company focused on target one-to-one e-tailers,1
Shaw-Ford Solutions,Utilities,364,174,A Utilities company focused on deploy B2B deliverables,1
"James, Hall and Gonzalez LLC",Publishing,141,151,A Publishing company focused on evolve cross-platform technologies,0
Hall-Frederick Solutions,Data Analytics,465,149,A Data Analytics company focused on incubate seamless markets,1
"Williams, Barnes and Smith Inc.",Construction,432,162,A Construction company focused on e-enable viral metrics,1
Nguyen Group Solutions,Banking,12,156,A Banking company focused on maximize leading-edge action-items,1
Campbell-Mccarthy Group,Events Services,406,54,A Events Services company focused on drive holistic bandwidth,0
"Mejia, Bradshaw and Reynolds LLC",Public Relations,6,3,A Public Relations company focused on repurpose collaborative schemas,0
"Burns, Davis and Green LLC",Media & Entertainment,745,18,A Media & Entertainment company focused on generate next-generation e-markets,0
"Smith, Snow and Vance Inc.",Cloud Computing,592,75,A Cloud Computing company focused on strategize 24/365 metrics,1
Johnson-Mccarty LLC,Pharmaceuticals,309,147,A Pharmaceuticals company focused on leverage interactive content,1
Morrow-Jones Inc.,Accounting,736,155,A Accounting company focused on transition integrated methodologies,1
Wright-Murphy LLC,Utilities,5,1,A Utilities company focused on exploit strategic web-readiness,0
"Brewer, Ross and Jensen LLC",Media & Entertainment,8,1,A Media & Entertainment company focused on maximize integrated platforms,0
"Johnson, Rogers and Camacho Inc.",Banking,667,11,A Banking company focused on unleash robust eyeballs,1
Garcia-Martinez Inc.,Utilities,393,49,A Utilities company focused on whiteboard synergistic e-tailers,1
Webb-Shelton LLC,Public Relations,710,96,A Public Relations company focused on re-contextualize dynamic technologies,1
Boone Ltd Group,IoT,549,143,A IoT company focused on deploy cross-platform schemas,1
Moss PLC LLC,Legal Services,7,3,A Legal Services company focused on repurpose value-added schemas,0
"Allen, Avila and Ortega Group",Retail,177,45,A Retail company focused on engineer granular ROI,1
Morris Inc Group,Retail,973,140,A Retail company focused on deploy cross-media info-mediaries,1
Hardy Inc Solutions,Public Relations,8,3,A Public Relations company focused on strategize out-of-the-box vortals,0
"Marks, Romero and Orr Group",Cloud Computing,938,12,A Cloud Computing company focused on reinvent bricks-and-clicks markets,1
Nelson-Holt Group,Consumer Electronics,8,1,A Consumer Electronics company focused on re-intermediate plug-and-play supply-chains,0
"White, Roach and Spencer LLC",Manufacturing,768,119,A Manufacturing company focused on innovate robust channels,1
"Gates, Griffith and Gibbs Inc.",Logistics & Supply Chain,5,2,A Logistics & Supply Chain company focused on implement distributed supply-chains,0
Harris-Medina Group,Oil & Gas,669,59,A Oil & Gas company focused on morph strategic deliverables,1
"Patel, Hill and Marshall LLC",Legal Services,48,63,A Legal Services company focused on target killer architectures,1
"Harris, Schwartz and Anderson Group",Oil & Gas,8,1,A Oil & Gas company focused on exploit seamless info-mediaries,0
Cook and Sons LLC,Cloud Computing,689,72,A Cloud Computing company focused on incentivize real-time relationships,1
"Roy, West and Vega Group",Legal Services,160,136,A Legal Services company focused on revolutionize 24/365 convergence,1
Williams LLC Group,Public Relations,595,107,A Public Relations company focused on matrix next-generation relationships,1
"Dennis, Johnson and Evans Inc.",E-commerce,7,2,A E-commerce company focused on innovate impactful solutions,0
Mills-Lewis Group,Manufacturing,7,1,A Manufacturing company focused on synthesize clicks-and-mortar content,0
"Smith, Johnson and Rojas Inc.",Software,169,163,A Software company focused on productize B2C interfaces,1
Daniels LLC Inc.,Cloud Computing,493,22,A Cloud Computing company focused on harness bricks-and-clicks web-readiness,1
Sanchez Group Group,Aerospace & Defense,7,2,A Aerospace & Defense company focused on generate ubiquitous methodologies,0
"Perry, Baldwin and Smith Inc.",Automotive,803,35,A Automotive company focused on exploit back-end users,1
Baker Group Inc.,Construction,103,178,A Construction company focused on disintermediate 24/7 info-mediaries,1
"Franklin, Carpenter and Torres Group",Publishing,308,116,A Publishing company focused on envisioneer virtual action-items,0
Pugh LLC Group,EdTech,536,77,A EdTech company focused on transition integrated e-tailers,1
"Blackburn, Miller and Bolton Solutions",Healthcare,641,68,A Healthcare company focused on transition real-time e-commerce,1
Gonzalez-Payne Inc.,IoT,242,103,A IoT company focused on morph user-centric functionalities,1
"Harris, Avila and Anderson Group",Software,95,17,A Software company focused on maximize best-of-breed web-readiness,1
Robertson-Collins LLC,Fintech,520,158,A Fintech company focused on e-enable seamless portals,1
"Flores, Gallagher and Wilson Solutions",Public Relations,649,165,A Public Relations company focused on deploy sticky users,1
Briggs LLC LLC,Fashion & Apparel,227,139,A Fashion & Apparel company focused on orchestrate one-to-one supply-chains,0
"Deleon, Leach and Diaz Inc.",Logistics & Supply Chain,547,127,A Logistics & Supply Chain company focused on expedite enterprise systems,1
Lopez and Sons Solutions,PropTech,5,2,A PropTech company focused on disintermediate interactive supply-chains,0
Chang LLC Solutions,Food & Beverage,45,45,A Food & Beverage company focused on aggregate dot-com portals,1
Stephens-Wheeler Solutions,HealthTech,431,5,A HealthTech company focused on embrace back-end interfaces,1
Wagner-Brock Group,Accounting,412,24,A Accounting company focused on cultivate B2B experiences,1
"Brown, Castillo and Mayer Group",Investment Management,5,2,A Investment Management company focused on disintermediate back-end action-items,0
Jones PLC LLC,Accounting,6,3,A Accounting company focused on synthesize e-business interfaces,0
"Caldwell, Roberts and Bryan Inc.",Fashion & Apparel,385,113,A Fashion & Apparel company focused on optimize B2C partnerships,0
Moreno-Wood Solutions,Healthcare,5,1,A Healthcare company focused on reinvent B2C experiences,0
"Todd, Whitney and Koch Inc.",HR Tech,52,74,A HR Tech company focused on integrate open-source eyeballs,1
"Lopez, Hoover and Vega Group",Utilities,388,180,A Utilities company focused on streamline rich interfaces,1
Wheeler-Murray Inc.,Media & Entertainment,603,38,A Media & Entertainment company focused on cultivate magnetic content,0
"Nguyen, Vincent and Henderson LLC",Mining,133,111,A Mining company focused on transition virtual applications,1
Clark-Russell Group,Medical Devices,45,176,A Medical Devices company focused on morph open-source schemas,1
"Warren, Pruitt and Frazier Group",Cloud Computing,833,72,A Cloud Computing company focused on iterate customized platforms,1
Bryan-Scott Inc.,Staffing & Recruiting,6,3,A Staffing & Recruiting company focused on utilize value-added infrastructures,0
Lee-Walker Group,Manufacturing,367,138,A Manufacturing company focused on visualize enterprise architectures,1
Boyd LLC Solutions,Media & Entertainment,107,182,A Media & Entertainment company focused on synthesize mission-critical convergence,0
Lewis LLC Solutions,Events Services,7,1,A Events Services company focused on facilitate turn-key convergence,0
Martinez Group Inc.,EdTech,5,1,A EdTech company focused on facilitate cutting-edge vortals,0
Miller-Hubbard LLC,HR Tech,7,2,A HR Tech company focused on expedite mission-critical architectures,0
Zamora Ltd Inc.,Biotechnology,237,115,A Biotechnology company focused on embrace e-business mindshare,1
Nguyen Group Solutions,HR Tech,25,56,A HR Tech company focused on revolutionize wireless web-readiness,1
Soto-Allen LLC,Automotive,205,57,A Automotive company focused on empower cross-platform applications,1
Robinson LLC LLC,IoT,266,97,A IoT company focused on repurpose B2C partnerships,1
Hart Group Inc.,EdTech,744,54,A EdTech company focused on engage rich schemas,1
Bailey LLC Group,Consulting,8,3,A Consulting company focused on unleash granular paradigms,0
Garcia-George Solutions,Accounting,377,52,A Accounting company focused on iterate ubiquitous channels,1
Hopkins Group Solutions,Software,648,22,A Software company focused on empower interactive web services,1
Douglas Inc LLC,Publishing,931,6,A Publishing company focused on aggregate out-of-the-box e-markets,0
Sanchez and Sons Group,Medical Devices,785,182,A Medical Devices company focused on engage sticky channels,1
Thompson Ltd Inc.,Venture Capital,958,5,A Venture Capital company focused on integrate extensible ROI,1
Hayes-Ford Inc.,SaaS,127,119,A SaaS company focused on maximize ubiquitous web services,1
Wells-Lee Inc.,SaaS,8,2,A SaaS company focused on mesh synergistic solutions,0
Johnson-Martin Group,Fintech,835,31,A Fintech company focused on engineer user-centric partnerships,1
"Bailey, Ramos and Vincent Group",Legal Services,8,3,A Legal Services company focused on streamline 24/7 convergence,0
Edwards LLC Group,Manufacturing,382,15,A Manufacturing company focused on disintermediate dot-com users,1
"Mclaughlin, Garner and Campbell LLC",Wellness and Fitness,669,193,A Wellness and Fitness company focused on orchestrate world-class users,1
Anderson PLC Inc.,Logistics & Supply Chain,7,1,A Logistics & Supply Chain company focused on implement magnetic ROI,0
Edwards LLC LLC,SaaS,6,2,A SaaS company focused on embrace dynamic solutions,0
"Smith, Hall and Mcgrath Solutions",Telecommunications,767,102,A Telecommunications company focused on embrace viral methodologies,0
"Francis, Byrd and Moore LLC",Public Relations,7,2,A Public Relations company focused on optimize transparent content,0
Henderson-Roach LLC,Hospitality,817,114,A Hospitality company focused on benchmark strategic metrics,0
Cole and Sons Inc.,Consulting,841,108,A Consulting company focused on implement real-time action-items,1
"Harrison, Barnes and Gibson Solutions",Consulting,221,72,A Consulting company focused on visualize scalable architectures,1
Colon PLC Inc.,Staffing & Recruiting,8,2,A Staffing & Recruiting company focused on deliver open-source architectures,0
"Thompson, Vargas and Cochran Group",Fashion & Apparel,212,136,A Fashion & Apparel company focused on drive out-of-the-box interfaces,0
Case Group Solutions,Cosmetics,519,119,A Cosmetics company focused on embrace rich e-commerce,0
"Taylor, Turner and Hubbard Inc.",E-commerce,6,1,A E-commerce company focused on visualize B2B experiences,0
Fernandez PLC LLC,Venture Capital,241,60,A Venture Capital company focused on iterate B2C e-tailers,1
"Jones, Montgomery and Cummings Inc.",Public Relations,281,165,A Public Relations company focused on leverage cross-media schemas,1
"Carr, Pope and Brown Inc.",Mining,242,164,A Mining company focused on leverage front-end platforms,1
"Ellis, Walls and Meadows Group",PropTech,695,43,A PropTech company focused on engage innovative networks,1
Washington-Cooley Inc.,Insurance,762,132,A Insurance company focused on deploy bleeding-edge ROI,1
"Shah, Vaughan and Pierce Solutions",Agriculture,176,77,A Agriculture company focused on implement visionary deliverables,1
Stone-Nelson Group,Food & Beverage,932,137,A Food & Beverage company focused on iterate rich e-services,1
Flores Group LLC,Software,893,94,A Software company focused on incubate wireless systems,1
Flores-Garcia LLC,Healthcare,248,24,A Healthcare company focused on transform one-to-one functionalities,1
Williams Group Group,Medical Devices,5,1,A Medical Devices company focused on evolve wireless architectures,0
Berry-Dodson Inc.,Public Relations,434,159,A Public Relations company focused on streamline virtual eyeballs,1
Cox PLC Inc.,Fintech,8,2,A Fintech company focused on maximize magnetic channels,0
"Gonzalez, Hicks and May Group",HR Tech,406,12,A HR Tech company focused on deploy transparent e-markets,1
Williams PLC LLC,Venture Capital,5,1,A Venture Capital company focused on reinvent granular channels,0
"Davis, Norman and Marshall Group",Medical Devices,6,2,A Medical Devices company focused on facilitate e-business e-markets,0
Ferguson PLC LLC,Renewable Energy,362,183,A Renewable Energy company focused on productize B2C partnerships,1
